name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
privacy_policy_url,TRUE,http://www.jobrapp.com/privacy,http://datenschutz.monster.de/datenschutz/home.aspx,http://inside.monster.ca/policy/inside2.aspx,http://inside.monster.co.uk/privacy/home.aspx?intcid=swoop_Footer_Privacy_Centre,http://donnees.monster.fr/charte/inside2.aspx,http://interne.monster.ca/politiquecomplete/inside2.aspx,http://donnees.monster.fr/charte/inside2.aspx,http://inside.monsterboard.nl/verklaring/inside2.aspx,http://integritet.monster.se/villkor,http://archivio.monster.it/politica/inside2.aspx,http://donnees.monster.be/charte/inside2.aspx,http://inside.du.monster.be/verklaring/inside2.aspx,http://inside.monster.co.uk/privacy/home.aspx?intcid=swoop_Footer_Privacy_Centre,http://donnees.monster.ch/confidentialite/home.aspx,http://datenschutz.monster.ch/datenschutz/home.aspx,http://donnees.monster.lu/charte/inside2.aspx,http://datenschutz.monster.lu/datenschutz/home.aspx,http://inside.monster.lu/privacy/home.aspx?intcid=swoop_Footer_Privacy_Centre,http://datenschutz.monster.at/datenschutz/home.aspx,http://inside.monster.ie/privacy/home.aspx,http://inside.monsterpolska.pl/privacy/home.aspx,http://www.jobrapp.com/yksityisyys,http://datos.monster.es/politica/inside2.aspx,http://inside.monster.cz/privacy/home.aspx,http://www.jobrapp.com/privacy
professional,TRUE,Professional,Höher als Promotion,Professional,Professional,Expert / Recherche,Professionnel,Expert / Recherche,Professional,Yrkeslicens,Professionale,Expert / Recherche,Professional,Professional,"Expert, Recherche",Höher als Promotion,Expert / Recherche,Höher als Promotion,Professional,Höher als Promotion,Professional,Zawodowy,Asiantuntija,Profesional,Profesionální,Vezetői (MBA) fokozat
profile,TRUE,Profile,Profil,Profile,Profile,Profil,Profil,Profil,Profiel,Profil,Profilo,Profil,Profiel,Profile,Profil,Profil,Profil,Profil,Profile,Profil,Profile,Profil,Profiili,Perfil,Profil,Profil
progress_please_wait,TRUE,Please wait…,Bitte warte kurz ...,Please wait…,Please wait…,Veuillez patienter.,Veuillez patienter.,Veuillez patienter.,Wacht even...,Vänligen vänta,Attendi...,Veuillez patienter.,Wacht even...,Please wait…,Veuillez patienter.,Bitte warte kurz ...,Veuillez patienter.,Bitte warte kurz ...,Please wait…,Bitte warte kurz ...,Please wait…,Proszę czekać…,Ole hyvä ja odota...,Por favor espera...,Chvilku strpení...,"Kérjük, várj …"
progress_sign_out,TRUE,Signing out…,Abmelden ...,Signing out…,Signing out…,Déconnexion…,Déconnexion…,Déconnexion…,Uitloggen…,Loggar ut,Uscita...,Déconnexion…,Uitloggen…,Signing out…,Déconnexion…,Abmelden ...,Déconnexion…,Abmelden ...,Signing out…,Abmelden ...,Signing out…,Wylogowywanie…,Kirjaudutaan ulos...,Desconectando,Odhlašování...,Kijelentkezés …
push_notifications,TRUE,Push,Push,Push,Push,Notifications Push,Poussez,Notifications Push,Push,Pushmeddelanden,Notifiche Push,Notifications Push,Push,Push,Notifications Push,Push,Notifications Push,Push,Push,Push,Push,Push,Ilmoitus,Notificaciones Push,Posílat,Értesítés
rate_dialog_message,TRUE,"If you enjoy using Jobr, please take a moment to rate it. Thanks for your support!","Wenn dir die Monster App gefällt, würden wir uns sehr über eine Bewertung freuen. Danke für deine Unterstützung!","If you enjoy using Jobr, please take a moment to rate it. Thanks for your support!","If you enjoy using Jobr, please take a moment to rate it. Thanks for your support!",Vous aimez notre app ? Merci de prendre quelques minutes pour la noter.,Vous aimez notre app ? Merci de prendre quelques minutes pour la noter.,Vous aimez notre app ? Merci de prendre quelques minutes pour la noter.,Blij met de Monster app? Wil je ons dan beoordelen? Bedankt voor je support!,Gillar du vår app? Betygsätt oss gärna!,"Se ti piace utilizzare Monster, per favore lascia una valutazione. Grazie per il supporto!",Vous aimez notre app ? Merci de prendre quelques minutes pour la noter.,Blij met de Monster app? Wil je ons dan beoordelen? Bedankt voor je support!,"If you enjoy using Monster, please take a moment to rate it. Thanks for your support!",Vous aimez notre app ? Merci de prendre quelques minutes pour la noter.,"Wenn dir die Monster App gefällt, würden wir uns sehr über eine Bewertung freuen. Danke für deine Unterstützung!",Vous aimez notre app ? Merci de prendre quelques minutes pour la noter.,"Wenn dir die Monster App gefällt, würden wir uns sehr über eine Bewertung freuen. Danke für deine Unterstützung!","If you enjoy using Monster, please take a moment to rate it. Thanks for your support!","Wenn dir die Monster App gefällt, würden wir uns sehr über eine Bewertung freuen. Danke für deine Unterstützung!","If you enjoy using Monster, please take a moment to rate it. Thanks for your support!","Jeśli jesteś zadowolony z działania aplikacji od MonsterPolska, prosimy Cię o podzielenie się swoją opinią na jej temat. Dziękujemy!","Jos pidät Jobr:n käytöstä, olisimme kiitollisia jos käyttäisit hetken sen arviointiin.",¿Qué te ha parecido nuestra app? Por favor toma unos minutos para evaluarla.,Líbí se vám aplikace Monster? Udělejte nám radost a ohodnoťte nás!,"Tetszik a Jobr? Csak pár katt, hogy értékeled. Köszönjük."
rate_jobr,TRUE,Rate Monster,Bewerte die Monster App!,Rate Monster,Rate Monster,Notez Monster !,Notez Monster!,Notez Monster !,Beoordeel de Monster app!,Recensera Monster,Valuta Monster,Notez Monster !,Beoordeel de Monster app!,Rate Monster,Notez Monster !,Bewerte die Monster App!,Notez Monster !,Bewerte die Monster App!,Rate Monster,Bewerte die Monster App!,Rate Monster,Oceń aplikację od MonsterPolska,Arvostele Monster,¡Evalúa a Monster!,Ohodnotit Monster,Értékeld a Monstert
ready_to_submit,TRUE,Ready to submit,Bereit zum Bewerben,Ready to submit,Ready to submit,Prête pour envoi,Prêt à l'envoi,Prête pour envoi,Klaar om te versturen,Redo att skickas,Pronto per l'invio,Prête pour envoi,Klaar om te versturen,Ready to submit,Prête pour envoi,Bereit zum Bewerben,Prête pour envoi,Bereit zum Bewerben,Ready to submit,Bereit zum Bewerben,Ready to submit,Gotowe do wysłania,Valmis lähettämään aineiston,Listo para enviar,Připraveno k potvrzení,Beküldésre kész
reason,TRUE,Reason,Begründung,Reason,Reason,Motif,Motif,Motif,Reden,Anledning,Motivo,Motif,Reden,Reason,Motif,Begründung,Motif,Begründung,Reason,Begründung,Reason,Powód,Syy,Motivo,Důvod,Ok
remind_me_later,TRUE,Remind me later,Später erinnern,Remind me later,Remind me later,Me le rappeler plus tard,Me le rappeler plus tard,Me le rappeler plus tard,Herinner mij later.,Påminn mig senare,Ricordamelo dopo,Me le rappeler plus tard,Herinner mij later.,Remind me later,Me le rappeler plus tard,Später erinnern,Me le rappeler plus tard,Später erinnern,Remind me later,Später erinnern,Remind me later,Przypomnij mi później,Muistuta myöhemmin,Recordarme más tarde,Připomenout později,Emlékeztessen később
remote,TRUE,Remote,Homeoffice,Remote,Remote,Télétravail,Télétravail,Télétravail,Werk vanuit huis,Jobba hemifrån,Da Remoto,Télétravail,Homeworking,Remote,Télétravail,Homeoffice,Télétravail,Homeoffice,Remote,Homeoffice,Remote,Zdalny,Etä,Teletrabajo,Home office,Távmunka
remove_item,TRUE,Remove Item,Entfernen,Remove Item,Remove Item,Supprimer une information,Supprimer une information,Supprimer une information,Item verwijderen ,Ta bort objekt,Rimuovi elemento,Supprimer une information,Item verwijderen,Remove Item,Supprimer une information,Entfernen,Supprimer une information,Entfernen,Remove Item,Entfernen,Remove Item,Usuń pozycję,Poista tilaus,Suprimir un elemento,Odstranit položku,Elem törlése
reorder_item,TRUE,Reorder Item,Rückgängig machen,Reorder Item,Reorder Item,Modifier l\'ordre des informations,Modifier l\'ordre des informations,Modifier l\'ordre des informations,Volgorde van informatie aanpassen,Ändra ordningen på objekt,Riordina elemento,Modifier l\'ordre des informations,Volgorde van informatie aanpassen,Reorder Item,Modifier l\'ordre des informations,Rückgängig machen,Modifier l\'ordre des informations,Rückgängig machen,Reorder Item,Rückgängig machen,Reorder Item,Zmień kolejność pozycji,Uusi tilaus,Modificar el orden de los elementos,Přeobjednat položku,Elem sorbarendezése
report_spam,TRUE,Report Job,Als Spam melden,Report Spam,Report Job,Signaler comme spam,Signaler comme spam,Signaler comme spam,Rapporteer spam,Felrapportera jobb,Segnala annuncio,Signaler comme spam,Rapporteer spam,Report Job,Signaler comme spam,Als Spam melden,Signaler comme spam,Als Spam melden,Report Job,Als Spam melden,Report Job,Zgłoś ofertę,Ilmianna työpaikka,Señalar oferta,Nahlásit nabídku,Állás jelentése
reset_my_activity,TRUE,Reset My Activity,Meine Aktivitäten zurücksetzen,Reset My Activity,Reset My Activity,Réinitialiser mon activité,Réinitialiser mon activité,Réinitialiser mon activité,Reset mijn activiteiten.,Återställ mina aktiviteter,Reimposta le Mie Attività,Réinitialiser mon activité,Reset mijn activiteiten.,Reset My Activity,Réinitialiser mon activité,Meine Aktivitäten zurücksetzen,Réinitialiser mon activité,Meine Aktivitäten zurücksetzen,Reset My Activity,Meine Aktivitäten zurücksetzen,Reset My Activity,Zresetuj swoją aktywność,Nollaa toiminnot,Reiniciar mi actividad,Resetovat aktivitu,Előzmények törlése
reset_password,TRUE,Reset Password,Passwort zurücksetzen,Reset Password,Reset Password,Réinitialiser le mot de passe,Réinitialiser le mot de passe,Réinitialiser le mot de passe,Wachtwoord resetten,Återställ mitt lösenord,Reimposta Password,Réinitialiser le mot de passe,Paswoord resetten,Reset Password,Réinitialiser le mot de passe,Passwort zurücksetzen,Réinitialiser le mot de passe,Passwort zurücksetzen,Reset Password,Passwort zurücksetzen,Reset Password,Zresetuj hasło,Nollaa salasana,Reiniciar Contraseña,Resetovat heslo,Új jelszó beállítása
resolution,TRUE,Resolution,Hinweis,Resolution,Resolution,Résolution,Résolution,Résolution,Oplossing,Upplösning,Risoluzione,Résolution,Oplossing,Resolution,Résolution,Hinweis,Résolution,Hinweis,Resolution,Hinweis,Resolution,Rozwiązanie,Ratkaisu,Resolución,Rozlišení,Megoldás
resolve,TRUE,Resolve Issues,Profil ergänzen oder CV hochladen,Resolve Issues,Resolve Issues,Résoudre les problèmes,Résoudre les problèmes,Résoudre les problèmes,Los problemen op ,Lös problemen,Risolvi problemi,Résoudre les problèmes,Los problemen op,Resolve Issues,Résoudre les problèmes,Profil ergänzen oder CV hochladen,Résoudre les problèmes,Profil ergänzen oder CV hochladen,Resolve Issues,Profil ergänzen oder CV hochladen,Resolve Issues,Rozwiąż problem,Ratkaise ongelma,Resolver los incidentes,Vyřešit,Hibák megoldása
resolve_education,TRUE,Education incomplete,Profil ergänzen,Education incomplete,Education incomplete,Niveau d'études incomplet,Education incomplète,Niveau d'études incomplet,Opleiding incompleet,Studier ofullständiga,Istruzione incompleta,Niveau d'études incomplet,Opleiding incompleet,Education incomplete,Niveau d'études incomplet,Profil ergänzen,Niveau d'études incomplet,Profil ergänzen,Education incomplete,Profil ergänzen,Education incomplete,Brak danych w wykształceniu,Koulutustiedot puutteelliset,Nivel académico incompleto,Nekompletní informace o vzdělání,Hiányos tanulmányi adatok
resolve_email,TRUE,Email required,E-Mail-Adresse fehlt,Email required,Email required,Email requis,Courriel requis,Email requis,E-mail is verplicht,E-postadress krävs,Email necessaria,Email requis,E-mail is verplicht,Email required,Email requis,E-Mail-Adresse fehlt,Email requis,E-Mail-Adresse fehlt,Email required,E-Mail-Adresse fehlt,Email required,Wymagany adres e-mail,Sähköposti vaaditaan,Email obligatorio,E-mail požadován,Az e-mail címet kötelező megadni
resolve_experience,TRUE,Experience incomplete,Profil ergänzen,Experience incomplete,Experience incomplete,Experience incomplète,Experience incomplète,Experience incomplète,Ervaring incompleet ,Erfarenheter ofullständiga,Esperienza incompleta,Experience incomplète,Ervaring incompleet,Experience incomplete,Experience incomplète,Profil ergänzen,Experience incomplète,Profil ergänzen,Experience incomplete,Profil ergänzen,Experience incomplete,Brak danych w doświadczeniu,Kokemustiedot puutteelliset,Experiencia incompleta,Nekompletní informace o zkušenostech,Hiányos tapasztalati adatok
resolve_first,TRUE,First name required,Vorname fehlt,First name required,First name required,Prénom requis,Prénom requis,Prénom requis,Voornaam is verplicht ,Förnamn krävs,Nome necessario,Prénom requis,Voornaam is verplicht,First name required,Prénom requis,Vorname fehlt,Prénom requis,Vorname fehlt,First name required,Vorname fehlt,First name required,Wymagane imię,Etunimi vaaditaan,Nombre obligatorio,Jméno požadováno,A keresztnevet kötelező megadni
resolve_last,TRUE,Last name required,Nachname fehlt,Last name required,Last name required,Nom requis,Nom requis,Nom requis,Achternaam is verplicht ,Efternamn krävs,Cognome necessario,Nom requis,Achternaam is verplicht,Last name required,Nom requis,Nachname fehlt,Nom requis,Nachname fehlt,Last name required,Nachname fehlt,Last name required,Wymaganie nazwisko,Sukunimi vaaditaan,Apellido obligatorio,Příjmení požadováno,A családnevet kötelező megadni
resolve_location,TRUE,Location required,Standort fehlt,Location required,Location required,Localisation requise,Localisation requis,Localisation requise,Locatie is verplicht,Placering krävs,Località necessaria,Localisation requise,Locatie is verplicht,Location required,Localisation requise,Standort fehlt,Localisation requise,Standort fehlt,Location required,Standort fehlt,Location required,Wymagane miejsce zamieszkania,Sijainti vaaditaan,Localidad obligatoria,Lokace požadována,A földrajzi helyet kötelező megadni
resolve_offsite,TRUE,Contact %1$s for status,Kontaktiere %1$s für den Status,Contact %1$s for status,Contact %1$s for status,Contactez %1$s pour le statut,Contactez %1$s pour le statut,Contactez %1$s pour le statut,Contact %1$s voor status,Kontakta %1$s för status,Contatta %1$s per lo status,Contactez %1$s pour le statut,Contact %1$s voor status,Contact %1$s for status,Contactez %1$s pour le statut,Kontaktiere %1$s für den Status,Contactez %1$s pour le statut,Kontaktiere %1$s für den Status,Contact %1$s for status,Kontaktiere %1$s für den Status,Contact %1$s for status,"Skontaktuj się z %1$s, aby sprawdzić status",Yhteydenotto %1$s ,Contacta %1$s por el estado,Pro více informací kontaktuj %1$s,A státuszért lépj kapcsolatba vele: %1$s
resolve_phone,TRUE,Phone required,Telefon-Nr. fehlt,Phone required,Phone required,Téléphone requis,Numéro de téléphone requis,Téléphone requis,Telefoonnummer is verplicht,Telefonnummer krävs,Numero di telefono necessario,Téléphone requis,Telefoonnummer is verplicht,Phone required,Téléphone requis,Telefon-Nr. fehlt,Téléphone requis,Telefon-Nr. fehlt,Phone required,Telefon-Nr. fehlt,Phone required,Wymagany numer telefonu,Puhelinnumero vaaditaan,Teléfono obligatorio,Požadováno telefonní číslo,A telefonszámot kötelező megadni
resolve_resume,TRUE,Resume required,CV hochladen,Resume required,CV Required,CV requis,CV requis,CV requis,Cv is verplicht,CV behövs,CV necessario,CV requis,Cv is verplicht,CV Required,CV requis,CV hochladen,CV requis,CV hochladen,CV Required,CV hochladen,CV Required,Wymagane CV,Ansioluettelo vaaditaan,CV obligatorio,Požadováno CV,Az önéletrajzot kötelező feltölteni
resume,TRUE,Resume,Lebenslauf,Resume,CV,Mon CV,CV,Mon CV,Cv,Mitt CV,CV,Mon CV,Cv,CV,Mon CV,Lebenslauf,Mon CV,Lebenslauf,CV,Lebenslauf,CV,CV,Ansioluettelo,CV,Životopis,Önéletrajz
resume_explanation,TRUE,Your resume will now be used anytime you apply to a job. No other info is necessary.,"Dein Lebenslauf wird versendet, wenn du nach rechts swipest. So einfach!",Your resume will now be used anytime you apply to a job. No other info is necessary.,Your CV will now be used anytime you apply to a job. No other info is necessary.,"Votre CV sera utilisé pour toutes vos candidatures, aucune autre information ne sera nécessaire.","Votre CV sera utilisé pour toutes vos candidatures, aucune autre information ne sera nécessaire.","Votre CV sera utilisé pour toutes vos candidatures, aucune autre information ne sera nécessaire.",Jouw cv wordt nu elke keer gebruikt als je solliciteert. Er is geen andere informatie nodig.,Ditt CV kommer nu att användas varje gång du söker ett jobb. Ingen annan information behövs.,Il tuo CV verrà utilizzato d'ora in avanti per tutte le candidature. Non è necessaria alcuna informazione aggiuntiva.,"Votre CV sera utilisé pour toutes vos candidatures, aucune autre information ne sera nécessaire.",Jouw cv wordt nu elke keer gebruikt als je solliciteert. Er is geen andere informatie nodig.,Your CV will now be used anytime you apply to a job. No other info is necessary.,"Votre CV sera utilisé pour toutes vos candidatures, aucune autre information ne sera nécessaire.","Dein Lebenslauf wird versendet, wenn du nach rechts swipest. So einfach!","Votre CV sera utilisé pour toutes vos candidatures, aucune autre information ne sera nécessaire.","Dein Lebenslauf wird versendet, wenn du nach rechts swipest. So einfach!",Your CV will now be used anytime you apply to a job. No other info is necessary.,"Dein Lebenslauf wird versendet, wenn du nach rechts swipest. So einfach!",Your CV will now be used anytime you apply to a job. No other info is necessary.,Twoje CV będzie wykorzystywane w przypadku późniejszych rekrutacji bez konieczności ponownego zamieszczania,"Ansioluettelosi on nyt käytössä aina, kun haet tehtävään. Sinun ei tarvitse antaa muita tietoja.","Tu CV será utilizado para todas tus solicitudes, ninguna otra información será necesaria.","Tvé CV teď bude použito pokaždé, když projevíš zájem o nabídku práce - nic dalšího není třeba!",Ezentúl pályázásnál az önéletrajzod küldjük el a munkaadónak.
resume_required,TRUE,Resume required,Lebenslauf erforderlich,Resume required,CV Required,CV requis,CV requis,CV requis,Cv is verplicht,CV behövs,CV necessario,CV requis,Cv is verplicht,CV Required,CV requis,Lebenslauf erforderlich,CV requis,Lebenslauf erforderlich,CV Required,Lebenslauf erforderlich,CV Required,CV jest wymagane,Ansioluettelo vaaditaan,CV obligatorio,Požadováno CV,Az önéletrajzot kötelező feltölteni
resume_uploaded,TRUE,Thanks for uploading your resume.,Danke für das Hochladen deines Lebenslaufs.,Thanks for uploading your resume.,Thanks for uploading your CV.,Merci d\'avoir téléchargé votre CV.,Merci d\'avoir téléchargé votre CV.,Merci d\'avoir téléchargé votre CV.,Bedankt voor het uploaden van jouw cv.,Tack för att du laddade upp ditt CV,Grazie per aver caricato il tuo CV,Merci d\'avoir téléchargé votre CV.,Bedankt voor het uploaden van jouw cv.,Thanks for uploading your CV.,Merci d\'avoir téléchargé votre CV.,Danke für das Hochladen deines Lebenslaufs.,Merci d\'avoir téléchargé votre CV.,Danke für das Hochladen deines Lebenslaufs.,Thanks for uploading your CV.,Danke für das Hochladen deines Lebenslaufs.,Thanks for uploading your CV.,Dziękujemy za zamieszczenie swojego CV,Kiitos että latasit ansioluettelosi.,Gracias por subir tu CV.,Děkujeme za uložení tvého CV.,"Köszönjük, hogy feltöltötted önéletrajzod."
salary,TRUE,Salary,Gehalt,Salary,Salary,Salaire,Salaire,Salaire,Salaris,Lön,Stipendio,Salaire,Salaris,Salary,Salaire,Gehalt,Salaire,Gehalt,Salary,Gehalt,Salary,Wynagrodzenie,Palkkaus,Salario,Plat,Fizetés
save,TRUE,Save,Speichern,Save,Save,Sauvegarder,Sauvegarder,Sauvegarder,Bewaar,Spara,Salva,Sauvegarder,Bewaar,Save,Sauvegarder,Speichern,Sauvegarder,Speichern,Save,Speichern,Save,Zapisz,Tallenna,Guardar,Uložit,Mentés
saved,TRUE,Saved,Gespeichert,Saved,Saved,Sauvegardées,Sauvegardées,Sauvegardées,Bewaard,Sparad,Salvato,Sauvegardées,Bewaard,Saved,Sauvegardées,Gespeichert,Sauvegardées,Gespeichert,Saved,Gespeichert,Saved,Zapisane,Tallennettu,Guardadas,Uloženo,Elmentett
saved_empty_message,TRUE,"Jobs can be saved by choosing \""Save\"" from the menu in either the job feed or job details.",Mit dem Icon rechts oben in den Job-Details kannst du Jobs speichern.,"Jobs can be saved by choosing \""Save\"" from the menu in either the job feed or job details.","Jobs can be saved by choosing \""Save\"" from the menu in either the job feed or job details.","Vous pouvez sauvegarder une offre en cliquant sur \""Sauvegarder\"" depuis le menu accessible dans votre fil d\'offres, ou dans les détails de l\'offre.","Vous pouvez sauvegarder une offre en cliquant sur \""Sauvegarder\"" depuis le menu accessible dans votre fil d\'offres, ou dans les détails de l\'offre.","Vous pouvez sauvegarder une offre en cliquant sur \""Sauvegarder\"" depuis le menu accessible dans votre fil d\'offres, ou dans les détails de l\'offre.","Vacatures kunnen worden bewaard door \""Bewaar\"" te kiezen in het menu bij de vacatures of in de vacature details.","Du kan spara jobb genom att trycka på \""Spara\"" i menyn, antingen i din feed eller jobbeskrivningen.","Gli annunci possono essere salvati scegliendo \""Salva\"" dal menu nella Bacheca o dei dettagli annuncio.","Vous pouvez sauvegarder une offre en cliquant sur \""Sauvegarder\"" depuis le menu accessible dans votre fil d\'offres, ou dans les détails de l\'offre.","Vacatures kunnen worden bewaard door \""Bewaar\"" te kiezen in het menu bij de vacatures of in de vacature details.","Jobs can be saved by choosing \""Save\"" from the menu in either the job feed or job details.","Vous pouvez sauvegarder une offre en cliquant sur \""Sauvegarder\"" depuis le menu accessible dans votre fil d\'offres, ou dans les détails de l\'offre.",Mit dem Icon rechts oben in den Job-Details kannst du Jobs speichern.,"Vous pouvez sauvegarder une offre en cliquant sur \""Sauvegarder\"" depuis le menu accessible dans votre fil d\'offres, ou dans les détails de l\'offre.",Mit dem Icon rechts oben in den Job-Details kannst du Jobs speichern.,"Jobs can be saved by choosing \""Save\"" from the menu in either the job feed or job details.",Mit dem Icon rechts oben in den Job-Details kannst du Jobs speichern.,"Jobs can be saved by choosing \""Save\"" from the menu in either the job feed or job details.","Wybierz ""Zapisz"" na liście lub w szczegółach oferty, aby ją zapisać","Voit tallentaa työpaikan valiitsemalla \""Tallenna\"" valikosta, joko työapikkalistauksessa tai työpaikan kuvauksessa.","Puedes guardar una oferta haciendo clic en \""Guardar\"" desde el menu accessible en la lista de ofertas o en el detalle de la oferta.","Nabídku můžeš uložit výběrem \""Uložit\"" v menu - a to ve feedu nebo po rozkliknutí nabídky.",Az állásokat elmentheted későbbre a menüből.
saved_empty_title,TRUE,No saved jobs.,Noch keine Jobs gespeichert,No saved jobs.,No saved jobs.,Aucune offre sauvegardée.,Aucune offre sauvegardée.,Aucune offre sauvegardée.,Geen bewaarde vacatures.,Inga sparade jobb,Nessun annuncio salvato.,Aucune offre sauvegardée.,Geen bewaarde vacatures.,No saved jobs.,Aucune offre sauvegardée.,Noch keine Jobs gespeichert,Aucune offre sauvegardée.,Noch keine Jobs gespeichert,No saved jobs.,Noch keine Jobs gespeichert,No saved jobs.,Brak zapisanych ogłoszeń,Ei tallennettuja työpaikkoja.,No hay ofertas guardadas.,Žádné uložené pozice.,Nincs elmentett állásod.
saved_timestamp,TRUE,Saved %1$s,Gespeichert %1$s,Saved %1$s,Saved %1$s,Sauvegardée %1$s,Sauvegardée %1$s,Sauvegardée %1$s,Bewaard %1$s,Sparat %1$s,Salvato %1$s,Sauvegardée %1$s,Bewaard %1$s,Saved %1$s,Sauvegardée %1$s,Gespeichert %1$s,Sauvegardée %1$s,Gespeichert %1$s,Saved %1$s,Gespeichert %1$s,Saved %1$s,Zapisane %1$s,Tallennettu %1$s,Guardada %1$s,Uloženo %1$s,%1$s elmentve
school,TRUE,School,Ausbildung,School,School,École,Ecole,École,Naam van school,Skola,Scuola,École,School,School,École,Ausbildung,École,Ausbildung,School,Ausbildung,School,Szkoła,Koulu,Universidad,Škola,Iskola
search,TRUE,Search,Suche,Search,Search,Recherche,Recherche,Recherche,Zoek,Sök,Cerca,Recherche,Zoek,Search,Recherche,Suche,Recherche,Suche,Search,Suche,Search,Szukaj,Etsi,Búsqueda,Hledat,Keresés
select_file,TRUE,Select File,Datei wählen,Select File,Select File,Sélectionner un fichier,Sélectionner un fichier,Sélectionner un fichier,Selecteer bestand,Välj fil,Seleziona file,Sélectionner un fichier,Selecteer bestand,Select File,Sélectionner un fichier,Datei wählen,Sélectionner un fichier,Datei wählen,Select File,Datei wählen,Select File,Wybierz plik,Valitse tiedosto,Selecciona un documento,Vybrat soubor,Fájl kiválasztása
select_picture,TRUE,Select Picture,Profilbild auswählen,Select Picture,Select Picture,Sélectionner une photo,Sélectionner une photo,Sélectionner une photo,Selecteer afbeelding,Välj bild,Seleziona immagine,Sélectionner une photo,Selecteer afbeelding,Select Picture,Sélectionner une photo,Profilbild auswählen,Sélectionner une photo,Profilbild auswählen,Select Picture,Profilbild auswählen,Select Picture,Wybierz obraz,Valitse kuva,Selecciona una foto,Vybrat obrázek,Kép kiválasztása
settings,TRUE,Settings & Help,Einstellungen & Hilfe,Settings & Help,Settings & Help,Réglages et Aide,Réglages et Aide,Réglages et Aide,Instellingen & help,Inställningar & Hjälp,Impostazioni e Aiuto,Réglages et Aide,Instellingen & help,Settings & Help,Réglages et Aide,Einstellungen & Hilfe,Réglages et Aide,Einstellungen & Hilfe,Settings & Help,Einstellungen & Hilfe,Settings & Help,Ustawienia i pomoc,Asetukset ja apu,Configuraciones y Ayuda,Možnosti a nápověda,Beállítások és Súgó
share_app_body,TRUE,Monster has great jobs for you on http://post.jobrapp.com/monster,Mit der Monster App swipest du dich zum neuen Job https://jobr.onelink.me/916814817,Monster has a great jobs for you on https://jobr.onelink.me/916814817,Monster has great jobs for you on https://jobr.onelink.me/916814817,Télécharge l\'application Monster qui propose les meilleures offres d\'emploi : https://jobr.onelink.me/916814817,Télécharge l\'application Monster qui propose les meilleures offres d\'emploi : https://jobr.onelink.me/916814817,Télécharge l\'application Monster qui propose les meilleures offres d\'emploi : https://jobr.onelink.me/916814817,Monsterboard heeft gave vacatures voor jou op https://jobr.onelink.me/916814817,Monster matchar dig med de bästa jobben på https://jobr.onelink.me/916814817,Scarica l'app Monster per trovare i migliori annunci di lavoro: https://jobr.onelink.me/916814817,Télécharge l\'application Monster qui propose les meilleures offres d\'emploi : https://jobr.onelink.me/916814817,Monster heeft leuke vacatures voor jou op https://jobr.onelink.me/916814817,Monster has great jobs for you on https://jobr.onelink.me/916814817,Télécharge l\'application Monster qui propose les meilleures offres d\'emploi : https://jobr.onelink.me/916814817,Mit der Monster App swipest du dich zum neuen Job https://jobr.onelink.me/916814817,Télécharge l\'application Monster qui propose les meilleures offres d\'emploi : https://jobr.onelink.me/916814817,Mit der Monster App swipest du dich zum neuen Job https://jobr.onelink.me/916814817,Monster has great jobs for you on https://jobr.onelink.me/916814817,Mit der Monster App swipest du dich zum neuen Job https://jobr.onelink.me/916814817,Monster has great jobs for you on https://jobr.onelink.me/916814817,MonsterPolska ma dla Ciebie ciekawe oferty pracy https://jobr.onelink.me/916814817,Monsterilla on sinulle mahtavia työpaikkoja https://jobr.onelink.me/916814817,Sube la app Monster para encontrar las mejores ofertas de empleo en https://jobr.onelink.me/916814817,Monster pro vás loví ty nejlepší joby - https://jobr.onelink.me/916814817,Remek állások vannak a Monsteren: https://jobr.onelink.me/916814817
share_app_chooser_title,TRUE,Share via,Teilen,Share via,Share via,Partager via,Partager via,,Delen via,Dela via,Condividi via,Partager via,Delen via,Share via,Partager via,Teilen,Partager via,Teilen,Share via,Teilen,Share via,Udostępnij przez…,Jaa,Compartir via,Sdílet via,Megosztás
share_app_subject,TRUE,Looking for a Job?,Du bist auf Jobsuche?,Looking for a Job?,Looking for a Job?,Tu recherches un job ?,Vous cherchez un emploi ?,Tu recherches un job ?,Op zoek naar een baan?,Letar du jobb?,Stai cercando un nuovo lavoro?,Tu recherches un job ?,Op zoek naar een job?,Looking for a Job?,Tu recherches un job ?,Du bist auf Jobsuche?,Tu recherches un job ?,Du bist auf Jobsuche?,Looking for a Job?,Du bist auf Jobsuche?,Looking for a Job?,Szukasz pracy?,Etsitkö työpaikkaa?,¿Estás buscando un trabajo?,Hledáš práci?,Állást keresel?
